chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1737820107,2025-01-25T15:48:27Z,PA3GON,PA3GON,98(48/49),0,>,PA3GON,/ ,,,,,,,,,,,,Stations heard on PA3GON last 2 hrs CROSS: None
0,1737820182,2025-01-25T15:49:42Z,PI6BLA,PI1SHB,70(16/16),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737820185,2025-01-25T15:49:45Z,PD0PYL,PD0PYL,59(18/20),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737820186,2025-01-25T15:49:46Z,PD0PYL,PI1DRV,71(19/20),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737820235,2025-01-25T15:50:35Z,ON0ANT-10,ON0ANT-10,79(19/19),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
0,1737820236,2025-01-25T15:50:36Z,ON0ANT-10,PI1SHB,61(12/13),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
0,1737820236,2025-01-25T15:50:36Z,PI1SHB,PI1SHB,51(11/12),0,D,PI1SHB,/ ,,,,,,,,,,,,
0,1737820244,2025-01-25T15:50:44Z,ON3DV-9,ON0ANT-10?,79(19/18),0,`,ON3DV-9,/v,51.432333,4.711000,28.0,253.0,19.0,145.650,,,Mic-Emsg,En Route,, 73 dylan_1
0,1737820245,2025-01-25T15:50:45Z,ON3DV-9,PI1SHB?,59(12/13),0,`,ON3DV-9,/v,51.432333,4.711000,28.0,253.0,19.0,145.650,,,Mic-Emsg,En Route,, 73 dylan_1
0,1737820307,2025-01-25T15:51:47Z,ON6SX,ON0ANT-10,92(19/18),1,@,ON6SX,/-,50.906667,4.625500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.4V,T=22.4C/72.3F"
0,1737820327,2025-01-25T15:52:07Z,PI1DFT-2,PI1SHB,75(23/24),0,@,PI1DFT-2,/#,51.995000,4.335833,,,,432.500,,,SQ3PLX http://microsat.com.pl/,,,PI1DFT.432.500 MHz Digi Delft
0,1737820332,2025-01-25T15:52:12Z,PD3V,PI1SHB?,53(13/14),0,`,PD3V,/-,51.601833,5.228333,0.0,,,,,,Mic-Emsg,In Service,,- QRV: Tom_1
0,1737820402,2025-01-25T15:53:22Z,ON4NS,ON0ANT-10?,89(19/19),0,>,ON4NS,/ ,,,,,,,,,UIview 32 bit apps,,,"DX: ON0MSD 50.53.47N 3.03.48E 18,7 miles 198ø 23:09"
0,1737820419,2025-01-25T15:53:39Z,ON8ODK-9,ON0ANT-10?,89(19/20),1,`,ON8ODK-9,/>,51.279500,3.290500,19.0,320.0,12.0,,,,Yaesu FTM-350,En Route,,
0,1737820481,2025-01-25T15:54:41Z,PA5MB-9,PI1SHB?,55(11/11),0,`,PA5MB-9,E>,51.660333,4.417833,44.0,147.0,-10.0,145.625,-600,88.5,Mic-Emsg,En Route,," Chiel cruising around, 73!_4"
